,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
3,volkswagen,fox,3300,2005,with mileage,140000,petrol,1200,blue,mechanics,front-wheel drive,A
11,daewoo,matiz,2050,2013,with mileage,100000,petrol,800,silver,mechanics,front-wheel drive,A
193,volkswagen,fox,3850,2005,with mileage,104000,petrol,1200,black,mechanics,front-wheel drive,A
374,daewoo,matiz,2000,2008,with mileage,107000,petrol,800,black,mechanics,front-wheel drive,A
391,mercedes-benz,a-klass,3300,2000,with mileage,328000,diesel,1700,green,mechanics,front-wheel drive,A
550,ford,ka,700,1998,with mileage,12345,petrol,1300,purple,mechanics,front-wheel drive,A
553,mercedes-benz,a-klass,3100,1998,with mileage,206156,petrol,1400,burgundy,mechanics,,A
912,opel,agila,1949,2001,with mileage,282500,petrol,1000,blue,mechanics,front-wheel drive,A
1036,mercedes-benz,a-klass,7900,2008,with mileage,96000,petrol,1700,black,auto,front-wheel drive,A
1051,mercedes-benz,a-klass,2750,2001,with mileage,190000,diesel,1700,silver,mechanics,front-wheel drive,A
1303,mercedes-benz,a-klass,9300,2012,with mileage,111000,petrol,1700,red,auto,front-wheel drive,A
1424,peugeot,107,5100,2010,with mileage,113000,petrol,1000,black,auto,front-wheel drive,A
1454,mini,cooper,5800,2005,with mileage,190000,petrol,1600,green,auto,front-wheel drive,A
1466,opel,agila,2600,2001,with mileage,242000,petrol,1200,blue,mechanics,front-wheel drive,A
1503,mercedes-benz,a-klass,2900,1998,with mileage,270000,petrol,1600,silver,mechanics,front-wheel drive,A
1695,mercedes-benz,a-klass,8450,2011,with mileage,130000,petrol,1700,black,auto,front-wheel drive,A
1780,mercedes-benz,a-klass,6100,2007,with mileage,154000,petrol,1500,silver,auto,front-wheel drive,A
1894,rover,45,2500,2004,with mileage,273000,diesel,2000,silver,mechanics,front-wheel drive,A
1902,mercedes-benz,a-klass,8700,2012,with mileage,89000,petrol,1800,blue,auto,front-wheel drive,A
2081,mini,cooper,5700,2005,with mileage,11,petrol,1600,white,auto,,A
2085,opel,agila,2800,2004,with mileage,316000,diesel,1300,blue,mechanics,front-wheel drive,A
2095,daewoo,matiz,1350,2007,with mileage,90000,petrol,800,burgundy,mechanics,front-wheel drive,A
2103,peugeot,107,7200,2012,with mileage,85000,petrol,1000,purple,auto,front-wheel drive,A
2472,mercedes-benz,a-klass,16700,2013,with mileage,120000,petrol,1600,white,auto,rear drive,A
2686,daewoo,matiz,1550,2007,with mileage,200000,petrol,800,blue,mechanics,front-wheel drive,A
2858,mercedes-benz,a-klass,5800,2008,with mileage,215000,petrol,1500,black,auto,front-wheel drive,A
2865,mercedes-benz,a-klass,14000,2013,with mileage,120000,petrol,1600,black,auto,front-wheel drive,A
3109,mini,cooper,6000,2004,with mileage,267000,petrol,1600,other,mechanics,front-wheel drive,A
3111,opel,agila,2799,2001,with mileage,137000,petrol,1000,blue,mechanics,front-wheel drive,A
3197,mercedes-benz,a-klass,3350,1999,with mileage,3600,petrol,1400,burgundy,mechanics,front-wheel drive,A
3344,mercedes-benz,a-klass,4800,2004,with mileage,199000,petrol,1600,blue,auto,front-wheel drive,A
3396,rover,45,2500,2000,with mileage,285000,petrol,1600,blue,mechanics,front-wheel drive,A
3471,peugeot,107,3999,2007,with mileage,200000,petrol,1000,yellow,mechanics,front-wheel drive,A
3475,mini,cooper,7333,2010,with mileage,230000,petrol,1600,gray,mechanics,front-wheel drive,A
3477,daewoo,matiz,1100,1998,with mileage,290000,petrol,800,red,mechanics,front-wheel drive,A
3520,mercedes-benz,a-klass,4350,2002,with mileage,227000,diesel,1700,silver,auto,front-wheel drive,A
3556,ford,ka,1421,1998,with mileage,97000,petrol,1300,black,mechanics,front-wheel drive,A
3574,mercedes-benz,a-klass,2750,1998,with mileage,199000,petrol,1600,green,mechanics,front-wheel drive,A
3657,ford,ka,550,1997,with mileage,150,petrol,1300,red,mechanics,front-wheel drive,A
4362,mercedes-benz,a-klass,2300,1999,with mileage,178000,petrol,1400,other,mechanics,front-wheel drive,A
4507,daewoo,matiz,1800,2010,with mileage,95000,petrol,800,blue,mechanics,,A
4529,rover,45,2350,2000,with mileage,289000,petrol,1400,blue,mechanics,front-wheel drive,A
4835,chevrolet,matiz,2800,2009,with mileage,99000,petrol,800,red,mechanics,front-wheel drive,A
4847,mercedes-benz,a-klass,2500,1998,with mileage,317000,petrol,1600,other,mechanics,front-wheel drive,A
4857,zaz,965,1600,1968,with mileage,35000,petrol,900,blue,mechanics,,A
4897,hyundai,atos,1700,1999,with mileage,199999,petrol,1000,blue,mechanics,front-wheel drive,A
4991,volkswagen,fox,3790,2009,with mileage,217000,petrol,1200,gray,mechanics,front-wheel drive,A
5292,mercedes-benz,a-klass,3900,2004,with mileage,290000,diesel,1700,silver,mechanics,front-wheel drive,A
5433,mercedes-benz,a-klass,3300,2000,with mileage,260000,diesel,1700,black,mechanics,front-wheel drive,A
5488,mercedes-benz,a-klass,4990,2004,with mileage,170000,petrol,1600,blue,auto,front-wheel drive,A
5511,mercedes-benz,a-klass,7800,2008,with mileage,107000,petrol,1500,black,auto,front-wheel drive,A
5610,volkswagen,fox,4100,2009,with mileage,134,petrol,1200,red,mechanics,front-wheel drive,A
5680,daewoo,matiz,1500,2010,with mileage,117541,petrol,800,blue,mechanics,front-wheel drive,A
5829,daewoo,matiz,1999,2009,with mileage,50638,petrol,800,yellow,mechanics,front-wheel drive,A
5901,rover,45,1450,2001,with mileage,315000,petrol,1800,other,mechanics,front-wheel drive,A
6099,rover,45,3450,2005,with mileage,160000,petrol,1800,silver,mechanics,front-wheel drive,A
6193,chevrolet,matiz,2800,2007,with mileage,123000,petrol,1000,blue,mechanics,front-wheel drive,A
6205,daewoo,matiz,1050,2008,with mileage,100000,petrol,800,blue,mechanics,front-wheel drive,A
6259,mercedes-benz,a-klass,13150,2013,with mileage,95200,petrol,1600,black,auto,front-wheel drive,A
6281,volkswagen,fox,3800,2006,with mileage,192000,petrol,1400,silver,mechanics,front-wheel drive,A
6287,daewoo,matiz,1664,2010,with mileage,148300,petrol,800,silver,mechanics,front-wheel drive,A
6329,daewoo,matiz,1050,2005,with mileage,146000,petrol,800,blue,mechanics,front-wheel drive,A
6342,mercedes-benz,a-klass,3666,2002,with mileage,240000,diesel,1600,black,mechanics,front-wheel drive,A
6418,daewoo,matiz,2500,2012,with mileage,45000,petrol,800,red,mechanics,front-wheel drive,A
6424,zaz,965,2567,1967,with mileage,2080,petrol,900,blue,mechanics,rear drive,A
7203,ford,ka,1100,1997,with mileage,71300,petrol,1300,yellow,mechanics,front-wheel drive,A
